Date,Input Voltage,CPU Temp,CPU Clock,CPU Usage,Governor,Fan RPM,Fan Percent,Undervoltage detected,Arm frequency capped,Currently throttled,Soft temperature limit active,Undervoltage has occurred,Arm frequency capping has occurred,Throttling has occurred,Soft temperature limit has occurred
2024-11-21 20:53:27.334219,4.90172,47.7,1500019456,3.9,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:28.381825,4.87894,47.7,1600023552,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:29.466467,4.88698,47.7,1500016128,3.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:30.514677,4.891,48.3,1500022656,2.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:31.559175,4.89234,47.7,1500022656,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:32.605678,4.86152,48.3,1500012800,4.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:33.652318,4.90038,47.7,1500016128,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:34.696051,4.88698,45.5,1600017024,2.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:35.748197,4.90574,46.6,1500012800,3.9,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:36.792058,4.88698,47.7,1500022656,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:37.836129,4.87894,48.3,1600023552,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:38.882688,4.87492,48.8,1600017024,4.8,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:39.929582,4.90574,47.7,1500022656,3.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:40.973628,4.891,47.2,1500012800,6.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:42.019112,4.90038,47.7,1500012800,6.3,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:43.063121,4.891,46.6,1500022656,6.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:44.109340,4.8977,47.7,1500022656,6.8,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:45.154162,4.88698,48.3,1500022656,7.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:46.202504,4.90172,46.6,1500019456,5.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:47.247650,4.8977,47.7,1500022656,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:48.292079,4.90708,47.2,1500016128,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:49.335671,4.89368,47.2,1500022656,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:50.382302,4.89904,47.2,1500016128,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:51.424828,4.89904,47.7,1500016128,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:52.471385,4.89636,48.3,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:53.517145,4.89234,46.6,1500012800,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:54.560958,4.891,47.2,1500012800,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:55.604928,4.88698,47.7,1500016128,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:56.649663,4.88832,47.7,1500016128,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:57.696480,4.88028,47.2,1500019456,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:58.740393,4.89636,46.6,1500019456,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:59.784570,4.88966,47.2,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:00.828465,4.8977,47.7,1500016128,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:01.874024,4.89368,47.2,1500016128,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:02.918510,4.88162,47.7,1500012800,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:03.963418,4.89234,47.7,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:05.009197,4.891,48.3,1500016128,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:06.052670,4.89502,47.2,1500016128,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:07.096636,4.89904,47.7,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:08.140059,4.89234,46.6,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:09.183936,4.88832,46.6,1500016128,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:10.227712,4.88162,47.7,1500022656,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:11.271587,4.891,47.2,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:12.315787,4.86554,47.7,1500022656,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:13.359814,4.891,47.7,1500016128,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:14.403351,4.89368,47.7,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:15.447563,4.89904,47.2,1600013696,3.6,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:16.491624,4.89904,47.7,1500012800,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:17.537119,4.9044,47.7,1500016128,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:18.623844,4.8977,48.3,1500016128,1.8,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:19.669470,4.87894,49.4,1600023552,6.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:20.713762,4.88698,49.4,1500016128,2.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:21.759233,4.87894,48.3,2400027136,6.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:54:22.801367,4.88832,48.8,2400020480,15.4,ondemand,0,0,False,False,False,False,False,False,False,False
